cod,Clave,Nombre
64,A082,Enteritis debida a adenovirus
62,A080,Enteritis debida a rotavirus
12,A020,Enteritis debida a Salmonella
2952,G40,Epilepsia
2956,G403,Epilepsia y síndromes epilépticos idiopáticos generalizados
2962,G409,"Epilepsia, tipo no especificado"
244,A46,Erisipela
201,A38,Escarlatina
8836,S635,Esguince y torcedura de la muñeca
8837,S636,Esguinces y torceduras de dedo(s) de la mano
9036,S935,Esguinces y torceduras de dedo(s) del pie
8704,S434,Esguinces y torceduras de la articulación del hombro
8969,S836,Esguinces y torceduras de otras partes y las no especificadas de la rodilla
9037,S936,Esguinces y torceduras de otros sitios y los no especificados del pie
8770,S534,Esguinces y torceduras del codo
9035,S934,Esguinces y torceduras del tobillo
4281,J46,Estado asmático
2964,G410,Estado de gran mal epiléptico
2968,G419,Estado de mal epiléptico de tipo no especificado
2972,G432,Estado migrañoso
4493,K120,Estomatitis aftosa recurrente
618,B370,Estomatitis candidiásica
4492,K12,Estomatitis y lesiones afines
8120,R401,Estupor
4128,J029,"Faringitis aguda, no especificada"
4776,K740,Fibrosis hepática
4778,K742,Fibrosis hepática con esclerosis hepática
8175,R500,Fiebre con escalofrío
425,A90,Fiebre del dengue [dengue clásico]
426,A91,Fiebre del dengue hemorrágico
10,A014,"Fiebre paratifoidea, no especificada"
8176,R501,Fiebre persistente
6,A010,Fiebre tifoidea
5,A01,Fiebres tifoidea y paratifoidea
8541,S223,Fractura de costilla
9025,S923,Fractura de hueso del metatarso
8400,S02,Fractura de huesos del cráneo y de la cara
8402,S021,Fractura de la base del cráneo
8401,S020,Fractura de la bóveda del cráneo
8691,S420,Fractura de la clavícula
8954,S822,Fractura de la diáfisis de la tibia
8757,S522,Fractura de la diáfisis del cúbito
8759,S524,Fractura de la diáfisis del cúbito y del radio
8899,S723,Fractura de la diáfisis del fémur
8694,S423,Fractura de la diáfisis del húmero
8758,S523,Fractura de la diáfisis del radio
8955,S823,Fractura de la epífisis inferior de la tibia
8761,S526,Fractura de la epífisis inferior del cúbito y del radio
8900,S724,Fractura de la epífisis inferior del fémur
8695,S424,Fractura de la epífisis inferior del húmero
8760,S525,Fractura de la epífisis inferior del radio
8953,S821,Fractura de la epífisis superior de la tibia
8755,S520,Fractura de la epífisis superior del cúbito
8693,S422,Fractura de la epífisis superior del húmero
8756,S521,Fractura de la epífisis superior del radio
8951,S82,"Fractura de la pierna, inclusive del tobillo"
8952,S820,Fractura de la rótula
8403,S022,Fractura de los huesos de la nariz
9027,S925,Fractura de los huesos de otro(s) dedo(s) del pie
9026,S924,Fractura de los huesos del dedo gordo del pie
9159,T12,"Fractura de miembro inferior, nivel no especificado"
9148,T10,"Fractura de miembro superior, nivel no especificado"
8754,S52,Fractura del antebrazo
9023,S921,Fractura del astrágalo
9022,S920,Fractura del calcáneo
8613,S322,Fractura del cóccix
8896,S720,Fractura del cuello de fémur
8895,S72,Fractura del fémur
8690,S42,Fractura del hombro y del brazo
8821,S620,Fractura del hueso escafoides [navicular] de la mano
8614,S323,Fractura del hueso iliaco
8405,S024,Fractura del malar y del hueso maxilar superior
8958,S826,Fractura del maléolo eterno
8957,S825,Fractura del maléolo interno
8407,S026,Fractura del maxilar inferior
8692,S421,Fractura del omóplato
8956,S824,Fractura del peroné solamente
9021,S92,"Fractura del pie, excepto del tobillo"
8823,S622,Fractura del primer metacarpiano
8826,S625,Fractura del pulgar
8404,S023,Fractura del suelo de la órbita
4871,K920,Hematemesis
8107,R31,"Hematuria, no especificada"
8007,R042,Hemoptisis
4873,K922,"Hemorragia gastrointestinal, no especificada"
4066,I844,Hemorroides externas con otras complicaciones
4067,I845,Hemorroides externas sin complicación
4065,I843,Hemorroides externas trombosadas
4063,I841,Hemorroides internas con otras complicaciones
4064,I842,Hemorroides internas sin complicación
508,B15,Hepatitis aguda tipo A
8390,S01,Herida de la cabeza
8814,S61,Herida de la muñeca y de la mano
8393,S012,Herida de la nariz
8603,S311,Herida de la pared abdominal
8946,S81,Herida de la pierna
8749,S51,Herida del antebrazo y del codo
8687,S411,Herida del brazo
8750,S510,Herida del codo
8474,S11,Herida del cuello
8391,S010,Herida del cuero cabelludo
8686,S410,Herida del hombro
8892,S711,Herida del muslo
8394,S013,Herida del oído
9016,S910,Herida del tobillo
8530,S21,Herida del Torax
8397,S017,Heridas múltiples de la cabeza
4610,K40,Hernia inguinal
4611,K400,"Hernia inguinal bilateral con obstrucción, sin gangrena"
4612,K401,"Hernia inguinal bilateral, con gangrena"
4613,K402,"Hernia inguinal bilateral, sin obstrucción ni gangrena"
4615,K404,"Hernia inguinal unilateral o no especificada, con gangrena"
4614,K403,"Hernia inguinal unilateral o no especificada, con obstrucción, sin gangrena"
4616,K409,"Hernia inguinal unilateral o no especificada, sin obstrucción ni gangrena"
4624,K42,Hernia umbilical
4626,K421,Hernia umbilical con gangrena
4625,K420,"Hernia umbilical con obstrucción, sin gangrena"
4627,K429,Hernia umbilical sin obstrucción ni gangrena
3702,I10,Hipertensión esencial (primaria)
3714,I15,Hipertensión secundaria
7162,P590,Ictericia neonatal asociada con el parto antes de término
7155,P582,Ictericia neonatal debida a infección
7166,P598,Ictericia neonatal por otras causas especificadas
7167,P599,"Ictericia neonatal, no especificada"
4671,K560,Íleo paralítico
4670,K56,Ileo paralítico y obstrucción intestinal sin hernia
4678,K567,"Íleo, no especificado"
3731,I219,"Infarto agudo del miocardio, sin otra especificación"
4143,J069,"Infección aguda de las vías respiratorias superiores, no especificada"
4202,J22,Infección aguda no especificada de las vías respiratorias inferiores
34,A049,"Infección intestinal bacteriana, no especificada"
66,A084,"Infección intestinal viral, sin otra especificación"
11490,W78,Inhalación de contenidos gástricos
11501,W79,Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias
11512,W80,Inhalación e ingestión de otros objetos que causan obstrucción de las vías respiratorias
4767,K721,Insuficiencia hepática crónica
6033,N17,Insuficiencia renal aguda
6039,N18,Insuficiencia renal crónica
6042,N189,"Insuficiencia renal crónica, no especificada"
6040,N180,Insuficiencia renal terminal
4376,J960,Insuficiencia respiratoria aguda
4377,J961,Insuficiencia respiratoria crónica
7061,P285,Insuficiencia respiratoria del recién nacido
4375,J96,"Insuficiencia respiratoria, no clasificada en otra parte"
4378,J969,"Insuficiencia respiratoria, no especificada"
2258,E73,Intolerancia a la lactosa
2262,E739,"Intolerancia a la lactosa, no especificada"
42,A059,"Intoxicación alimentaria bacteriana, no especificada"
36,A050,Intoxicación alimentaria estafilocócica
4672,K561,Invaginación
4134,J040,Laringitis aguda
4137,J05,Laringitis obstructiva aguda [crup] y epiglotitis
4138,J050,"Laringitis obstructiva, aguda [crup]"
4141,J060,Laringofaringitis aguda
4136,J042,Laringotraqueítis aguda
4900,L040,"Linfadenitis aguda de cara, cabeza y cuello"
4089,I880,Linfadenitis mesentérica inespecífica
4095,I891,Linfangitis
8700,S430,Luxación de la articulación del hombro
9031,S930,Luxación de la articulación del tobillo
8702,S432,Luxación de la articulación esternoclavicular
8766,S530,Luxación de la cabeza del radio
8905,S730,Luxación de la cadera
8831,S630,Luxación de la muñeca
8964,S831,Luxación de la rodilla
8963,S830,Luxación de la rótula
7381,Q171,Macrotia
8186,R53,Malestar y fatiga
5427,M215,"Mano o pie en garra o en talipes, pie equinovaro o zambo adquiridos"
4872,K921,Melena
2849,G039,"Meningitis, no especificada"
5739,M791,Mialgia
7382,Q172,Microtia
2973,G433,Migraña complicada
4488,K116,Mucocele de glándula salival
3873,I461,"Muerte cardíaca súbita, así descrita"
8376,R960,Muerte instantánea
8377,R961,"Muerte que ocurre en menos de 24 horas del inicio de los síntomas, no explicada de otra forma"
8378,R98,Muerte sin asistencia
8039,R11,Náusea y vómito
4161,J15,"Neumonía bacteriana, no clasificada en otra parte"
4171,J159,"Neumonía bacteriana, no especificada"
4186,J189,"Neumonía, no especificada"
4181,J18,"Neumonía, organismo no especificado"
4355,J93,Neumotórax
4819,K820,Obstrucción de la vesícula biliar
4828,K831,Obstrucción del conducto biliar
11545,W84,Obstrucción no especificada de la respiración
3645,H922,Otorragia
2338,E87,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico"
4835,K85,Pancreatitis aguda
4842,K859,"Pancreatitis aguda, no especificada"
3871,I46,Paro cardíaco
3874,I469,"Paro cardíaco, no especificado"
8030,R092,Paro respiratorio
4732,K65,Peritonitis
4733,K650,Peritonitis aguda
4735,K659,"Peritonitis, no especificada"
4715,K622,Prolapso anal
4716,K623,Prolapso rectal
8270,R80,Proteinuria aislada
7754,Q691,Pulgar(es) supernumerario(s)
1862,D693,Púrpura trombocitopénica idiopática
1858,D69,Púrpura y otras afecciones hemorrágicas
8211,R620,Retardo del desarrollo
2164,E45,Retardo del desarrollo debido a desnutrición proteicocalórica
7079,P36,Sepsis bacteriana del recién nacido
7087,P369,"Sepsis bacteriana del recién nacido, no especificada"
7086,P368,Sepsis del recién nacido debida a otras bacterias
226,A419,"Septicemia, no especificada"
7757,Q70,Sindactilia
7763,Q709,"Sindactilia, no especificada"
14257,U99,Síndrome coqueluchoide
4334,J80,Síndrome de dificultad respiratoria del adulto
7018,P220,Síndrome de dificultad respiratoria del recién nacido
5910,N009,"Síndrome nefrítico agudo, no especificada"
5954,N049,"Síndrome nefrótico, no especificada"
14240,U04,Síndrome respiratorio agudo grave [SRAG]
14241,U049,"Síndrome respiratorio agudo grave [SRAG], no especificado"
7728,Q664,Talipes calcaneovalgus
7725,Q661,Talipes calcaneovarus
7724,Q660,Talipes equinovarus
7639,Q53,Testículo no descendido
7642,Q532,"Testículo no descendido, bilateral"
7643,Q539,"Testículo no descendido, sin otra especificación"
7641,Q531,"Testículo no descendido, unilateral"
6150,N44,Torsión del testículo
196,A37,Tos ferina [tos convulsiva]
198,A371,Tos ferina debida a Bordetella parapertussis
197,A370,Tos ferina debida a Bordetella pertussis
199,A378,Tos ferina debida a otras especies de Bordetella
200,A379,"Tos ferina, no especificada"
4135,J041,Traqueítis aguda
8467,S099,"Traumatismo de la cabeza, no especificado"
9006,S899,"Traumatismo de la pierna, no especificado"
8657,S369,Traumatismo de órgano intrabdominal no especificado
8585,S279,"Traumatismo de órgano intratorácico, no especificado"
8668,S379,Traumatismo de órgano pélvico no especificado
5220,L89,Úlcera de decúbito
5045,L500,Urticaria alérgica
5046,L501,Urticaria idiopática
5051,L506,Urticaria por contacto
470,B01,Varicela
474,B018,Varicela con otras complicaciones
475,B019,Varicela sin complicaciones
4077,I861,Várices escrotales
4673,K562,Vólvulo
14188,Z939,"Abertura artificial, no especificada"
14179,Z93,Aberturas artificiales
6376,N96,Abortadora habitual
6416,O03,Aborto espontáneo
6422,O035,"Aborto espontáneo completo o no especificado, complicado con infección genital y pelviana"
6424,O037,"Aborto espontáneo completo o no especificado, complicado por embolia"
6423,O036,"Aborto espontáneo completo o no especificado, complicado por hemorragia excesiva o tardía"
6425,O038,"Aborto espontáneo completo o no especificado, con otras complicaciones especificadas y las no especificadas"
6426,O039,"Aborto espontáneo completo o no especificado, sin complicación"
6417,O030,"Aborto espontáneo incompleto, complicado con infección genital y pelviana"
6419,O032,"Aborto espontáneo incompleto, complicado por embolia"
6418,O031,"Aborto espontáneo incompleto, complicado por hemorragia excesiva o tardía"
6420,O033,"Aborto espontáneo incompleto, con otras complicaciones especificadas y las no especificadas"
6421,O034,"Aborto espontáneo incompleto, sin complicación"
6427,O04,Aborto médico
6433,O045,"Aborto médico completo o no especificado, complicado con infección genital y pelviana"
6435,O047,"Aborto médico completo o no especificado, complicado por embolia"
6434,O046,"Aborto médico completo o no especificado, complicado por hemorragia excesiva o tardía"
6436,O048,"Aborto médico completo o no especificado, con otras complicaciones especificadas y las no especificadas"
6437,O049,"Aborto médico completo o no especificado, sin complicación"
6428,O040,"Aborto médico incompleto, complicado con infección genital y pelviana"
6430,O042,"Aborto médico incompleto, complicado por embolia"
6429,O041,"Aborto médico incompleto, complicado por hemorragia excesiva o tardía"
6431,O043,"Aborto médico incompleto, con otras complicaciones especificadas y las no especificadas"
6432,O044,"Aborto médico incompleto, sin complicación"
6449,O06,Aborto no especificado
6455,O065,"Aborto no especificado completo o no especificado, complicado con infección genital y pelviana"
6457,O067,"Aborto no especificado completo o no especificado, complicado por embolia"
6456,O066,"Aborto no especificado completo o no especificado, complicado por hemorragia excesiva o tardía"
6458,O068,"Aborto no especificado completo o no especificado, con otras complicaciones especificadas y las no especificadas"
6459,O069,"Aborto no especificado completo o no especificado, sin complicación"
6450,O060,"Aborto no especificado incompleto, complicado con infección genital y pelviana"
6452,O062,"Aborto no especificado incompleto, complicado por embolia"
6451,O061,"Aborto no especificado incompleto, complicado por hemorragia excesiva o tardía"
6453,O063,"Aborto no especificado incompleto, con otras complicaciones especificadas y las no especificadas"
6454,O064,"Aborto no especificado incompleto, sin complicación"
6413,O021,Aborto retenido
4417,K031,Abrasión de los dientes
50,A066,Absceso amebiano del cerebro
48,A064,Absceso amebiano del hígado
49,A065,Absceso amebiano del pulmón
4707,K610,Absceso anal
4709,K612,Absceso anorrectal
666,B431,Absceso cerebral feomicótico
4888,L023,"Absceso cutáneo, furúnculo y ántrax de glúteos"
4890,L028,"Absceso cutáneo, furúnculo y ántrax de otros sitios"
4891,L029,"Absceso cutáneo, furúnculo y ántrax de sitio no especificado"
4887,L022,"Absceso cutáneo, furúnculo y ántrax del tronco"
4485,K113,Absceso de glándula salival
5686,M710,Absceso de la bolsa sinovial
6230,N751,Absceso de la glándula de Bartholin
6858,O911,Absceso de la mama asociado con el parto
6134,N412,Absceso de la próstata
4706,K61,Absceso de las regiones anal y rectal
5649,M650,Absceso de vaina tendinosa
1879,D733,Absceso del bazo
4784,K750,Absceso del hígado
4724,K630,Absceso del intestino
4346,J853,Absceso del mediastino
3527,H600,Absceso del oído eterno
4344,J851,Absceso del pulmón con neumonía
4345,J852,Absceso del pulmón sin neumonía
4342,J85,Absceso del pulmón y del mediastino
2141,E321,Absceso del timo
2864,G062,"Absceso extramural y subdural, no especificado"
4711,K614,Absceso intraesfinteriano
4710,K613,Absceso isquiorrectal
4239,J36,Absceso periamigdalino
4433,K046,Absceso periapical con fístula
4434,K047,Absceso periapical sin fístula
4708,K611,Absceso rectal
6022,N151,Absceso renal y perirrenal
4253,J390,Absceso retrofaríngeo y parafaríngeo
6103,N340,Absceso uretral
6238,N764,Absceso vulvar
2862,G060,Absceso y granuloma intracraneal
2861,G06,Absceso y granuloma intracraneal e intrarraquídeo
2865,G07,Absceso y granuloma intracraneal e intrarraquídeo en enfermedades clasificadas en otra parte
2863,G061,Absceso y granuloma intrarraquídeo
667,B432,Absceso y quiste subcutáneo feomicótico
2676,F55,Abuso de sustancias que no producen dependencia
9659,T741,Abuso físico
9661,T743,Abuso psicológico
9660,T742,Abuso sexual
4520,K220,Acalasia del cardias
750,B601,Acantamebiasis
5203,L83,Acantosis nigricans
10687,V95,"Accidente de aeronave de motor, con ocupante lesionado"
10694,V959,"Accidente de aeronave no especificada, con ocupante lesionado"
10700,V969,"Accidente de aeronave sin motor no especificada, con ocupante lesionado"
10695,V96,"Accidente de aeronave sin motor, con ocupante lesionado"
10697,V961,"Accidente de ala delta, con ocupante lesionado"
10632,V90,Accidente de embarcación que causa ahogamiento y sumersión
10639,V906,"Accidente de embarcación que causa ahogamiento y sumersión, balsa inflable (sin motor)"
10634,V901,"Accidente de embarcación que causa ahogamiento y sumersión, barco de pasajeros"
10633,V900,"Accidente de embarcación que causa ahogamiento y sumersión, barco mercante"
10635,V902,"Accidente de embarcación que causa ahogamiento y sumersión, bote de pesca"
10638,V905,"Accidente de embarcación que causa ahogamiento y sumersión, canoa o kayac"
10640,V907,"Accidente de embarcación que causa ahogamiento y sumersión, esquí acuático"
10636,V903,"Accidente de embarcación que causa ahogamiento y sumersión, otro vehículo acuático con motor"
10641,V908,"Accidente de embarcación que causa ahogamiento y sumersión, otro vehículo acuático sin motor"
10642,V909,"Accidente de embarcación que causa ahogamiento y sumersión, vehículo acuático no especificado"
10637,V904,"Accidente de embarcación que causa ahogamiento y sumersión, velero"
10643,V91,Accidente de embarcación que causa otros tipos de traumatismo
10650,V916,"Accidente de embarcación que causa otros tipos de traumatismo, balsa inflable (sin motor)"
10645,V911,"Accidente de embarcación que causa otros tipos de traumatismo, barco de pasajeros"
10644,V910,"Accidente de embarcación que causa otros tipos de traumatismo, barco mercante"
10646,V912,"Accidente de embarcación que causa otros tipos de traumatismo, bote de pesca"
10649,V915,"Accidente de embarcación que causa otros tipos de traumatismo, canoa o kayak"
10651,V917,"Accidente de embarcación que causa otros tipos de traumatismo, esquí acuático"
10647,V913,"Accidente de embarcación que causa otros tipos de traumatismo, otro vehículo acuático con motor"
10652,V918,"Accidente de embarcación que causa otros tipos de traumatismo, otro vehículo acuático sin motor"
10653,V919,"Accidente de embarcación que causa otros tipos de traumatismo, vehículo acuático no especificado"
10648,V914,"Accidente de embarcación que causa otros tipos de traumatismo, velero"
10696,V960,"Accidente de globo aerostático, con ocupante lesionado"
10688,V950,Accidente de helicóptero con ocupante lesionado
10692,V954,"Accidente de nave espacial, con ocupante lesionado"
10699,V968,"Accidente de otras aeronaves sin motor, con ocupante lesionado"
10693,V958,"Accidente de otras aeronaves, con ocupante lesionado"
10690,V952,"Accidente de otros vehículos aéreos de alas fijas, privados, con ocupante lesionado"
10698,V962,"Accidente de planeador (sin motor), con ocupante lesionado"
10689,V951,"Accidente de planeador ultra liviano, micro liviano o motorizado, con ocupante lesionado"
10604,V87,Accidente de tránsito de tipo especificado pero donde se desconoce el modo de transporte de la víctima
10708,V99,Accidente de transporte no especificado
10691,V953,"Accidente de vehículo aéreo de alas fijas, comercial, con ocupante lesionado"
10626,V89,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado"
10672,V936,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o  sumersión, balsa inflable (sin motor)"
10669,V933,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o  sumersión, otro vehículo acuático con motor"
10670,V934,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o  sumersión, velero"
10665,V93,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o sumersión"
10667,V931,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o sumersión, barco de pasajeros"
10666,V930,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o sumersión, barco mercante"
10668,V932,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o sumersión, bote de pesca"
10671,V935,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o sumersión, canoa o kayak"
10673,V937,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o sumersión, esquí acuático"
10674,V938,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o sumersión, otro vehículo acuático sin motor"
10675,V939,"Accidente en una embarcación, sin accidente a la embarcación, que no causa ahogamiento o sumersión, vehículo acuático no especificado"
10615,V88,"Accidente no de tránsito de tipo especificado, pero donde se desconoce el modo de transporte de la víctima"
3944,I64,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico"
8277,R824,Acetonuria
8040,R12,Acidez
9567,T573,Ácido cianhídrico
9416,T408,Ácido lisérgico [LSD]
9548,T542,Ácidos corrosivos y sustancias ácidas similares
2341,E872,Acidosis
7202,P740,Acidosis metabólica tardía del recién nacido
5150,L70,Acné
5152,L701,Acné conglobado
5156,L705,Acné escoriado de la mujer joven
5155,L704,Acné infantil
5171,L730,Acné queloide
5154,L703,Acné tropical
5153,L702,Acné varioliforme
5151,L700,Acné vulgar
5158,L709,"Acné, no especificado"
7817,Q770,Acondrogénesis
7821,Q774,Acondroplasia
5664,M670,Acortamiento del tendón de Aquiles (adquirido)
5012,L402,Acrodermatitis continua
5226,L904,Acrodermatitis crónica atrófica
5040,L444,Acrodermatitis papular infantil [Giannotti-Crosti]
2079,E220,Acromegalia y gigantismo hipofisario
696,B471,Actinomicetoma
227,A42,Actinomicosis
229,A421,Actinomicosis abdominal
230,A422,Actinomicosis cervicofacial
228,A420,Actinomicosis pulmonar
233,A429,"Actinomicosis, sin otra especificación"
2608,F422,Actos e ideas obsesivas mitos
8198,R59,Adenomegalia
8200,R591,Adenomegalia generalizada
8199,R590,Adenomegalia localizada
8201,R599,"Adenomegalia, no especificada"
901,B970,Adenovirus como causa de enfermedades clasificadas en otros capítulos
4676,K565,Adherencias [bridas] intestinales con obstrucción
4737,K660,Adherencias peritoneales
6397,N994,Adherencias peritoneales pélvicas consecutivas a procedimientos
6218,N736,Adherencias peritoneales pélvicas femeninas
6395,N992,Adherencias postoperatorias de la vagina
13846,Z506,Adiestramiento ortóptico
2223,E65,Adiposidad localizada
3358,H270,Afaquia
7347,Q123,Afaquia congénita
2763,F803,Afasia adquirida con epilepsia [Landau-Kleffner]
5067,L539,"Afección eritematosa, no especificada"
1867,D699,"Afección hemorrágica, no especificada"
7242,P839,"Afección no especificada de la piel, propia del feto y del recién nacido"
7279,P969,Afección no especificada originada en el período perinatal
13525,Y95,Afección nosocomial
4365,J949,"Afección pleural, no especificada"
13528,Y98,Afección relacionada con el estilo de vida
13526,Y96,Afección relacionada con el trabajo
13527,Y97,Afección relacionada con la contaminación ambiental
7063,P289,Afección respiratoria no especificada del recién nacido
4321,J689,"Afección respiratoria no especificada, debida a inhalación de gases, humos, vapores y sustancias químicas"
4338,J840,Afecciones alveolares y alveoloparietales
3437,H445,Afecciones degenerativas del globo ocular
3255,H052,Afecciones exoftálmicas
4477,K102,Afecciones inflamatorias de los maxilares
6368,N949,Afecciones no especificadas asociadas con los órganos genitales femeninos y el ciclo menstrual
3537,H611,Afecciones no infecciosas del pabellón auditivo
4319,J684,"Afecciones respiratorias crónicas debidas a inhalación de gases, humos, vapores y sustancias químicas"
4333,J709,Afecciones respiratorias debidas a agentes eternos no especificados
4314,J68,"Afecciones respiratorias debidas a inhalación de gases, humos, vapores y sustancias químicas"
4326,J70,Afecciones respiratorias debidas a otros agentes eternos
4332,J708,Afecciones respiratorias debidas a otros agentes eternos especificados
6014,N14,Afecciones tubulares y tubulointersticiales inducidas por drogas y por metales pesados
8171,R491,Afonía
6864,O923,Agalactia
7507,Q333,Agenesia del pulmón
7690,Q624,Agenesia del uréter
7483,Q301,Agenesia o hipoplasia de la nariz
7668,Q60,Agenesia renal y otras malformaciones hipoplásicas del riñón
7670,Q601,"Agenesia renal, bilateral"
7671,Q602,"Agenesia renal, sin otra especificación"
7669,Q600,"Agenesia renal, unilateral"
7623,Q515,Agenesia y aplasia del cuello uterino
